id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4201201916358,2019-16358,5/6/2019 2:37:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX MADSEN RD,39921,Northfield,5,49.178818,-123.982766
4201201915897,2019-15897,5/3/2019 6:27:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,1XX BOWLSBY ST,39944,South End,6,49.141165,-123.929975
4201201925581,2019-25581,7/4/2019 11:54:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,1XX HALIBURTON ST,39951,South End,6,49.158921,-123.932726
4201201924358,2019-24358,6/26/2019 11:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,1XX NICOL ST,39953,South End,6,49.158919,-123.934133
4201201928468,2019-28468,7/23/2019 3:47:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,3XX HALIBURTON ST,39974,South End,6,49.155689,-123.932562
4201201935216,2019-35216,9/3/2019 3:00:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,8XX CRACE ST,39997,South End,6,49.161893,-123.933764
4201201933139,2019-33139,8/21/2019 11:19:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,8XX CRACE ST,39997,South End,6,49.161893,-123.933764
4201201932335,2019-32335,8/16/2019 3:38:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,8XX OLD VICTORIA RD,40002,South End,6,49.145499,-123.936396
4201201917054,2019-17054,5/11/2019 1:44:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,8XX OLD VICTORIA RD,40002,South End,6,49.145499,-123.936396
4201201932043,2019-32043,8/14/2019 9:46:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX NEEDHAM ST,40036,South End,6,49.153349,-123.934724
4201201924584,2019-24584,6/22/2019 5:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX NICOL ST,40037,South End,6,49.160883,-123.934231
4201201917241,2019-17241,5/11/2019 5:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,10XX OLD VICTORIA RD,40075,Chase River,8,49.138242,-123.927155
4201201929712,2019-29712,7/30/2019 7:54:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,12XX ISLAND HWY S,40080,Chase River,8,49.129359,-123.9206
4201201915275,2019-15275,4/28/2019 5:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,12XX ISLAND HWY S,40080,Chase River,8,49.129359,-123.9206
4201201931527,2019-31527,8/10/2019 8:44:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,10XX MAUGHAN RD,40129,Duke Pt,9,49.135109,-123.870457
4201201928011,2019-28011,7/20/2019 2:53:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,6XX BRUCE AVE,40214,Harewood,10,49.154181,-123.949571
4201201925896,2019-25896,7/7/2019 12:35:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,6XX BRUCE AVE,40214,Harewood,10,49.154181,-123.949571
4201201921463,2019-21463,6/8/2019 9:15:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,8XX BRUCE AVE,40247,Harewood,10,49.1447,-123.949655
4201201919074,2019-19074,5/23/2019 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX TENTH ST,40295,Harewood,10,49.130855,-123.923303
4201201926140,2019-26140,7/7/2019 12:40:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,65XX APPLECROSS RD,40353,Dover,11,49.236848,-124.042752
4201201913487,2019-13487,4/17/2019 4:50:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,65XX ISLAND HWY N,40358,Dover,11,49.235045,-124.0448
4201201931405,2019-31405,8/10/2019 12:36:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,69XX ISLAND HWY N,40378,Dover,11,49.240589,-124.055576
4201201915172,2019-15172,4/27/2019 5:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,28XX 107TH ST,40394,Rutherford,12,49.206276,-124.008344
4201201935973,2019-35973,9/8/2019 12:50:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,30XX BARONS RD,40397,Rutherford,12,49.207869,-124.004205
4201201916582,2019-16582,5/8/2019 8:12:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,30XX BARONS RD,40397,Rutherford,12,49.207869,-124.004205
4201201917502,2019-17502,5/14/2019 7:01:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,30XX ROSS RD,40399,Rutherford,12,49.208297,-124.005215
4201201913692,2019-13692,4/18/2019 1:19:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,33XX NORWELL DR,40414,Rutherford,12,49.207459,-124.005405
4201201919592,2019-19592,5/28/2019 1:20:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,42XX DEPARTURE BAY RD,40455,Rutherford,12,49.206262,-124.002542
4201201916770,2019-16770,5/9/2019 7:36:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,42XX VICTORIA AVE,40457,Rutherford,12,49.209535,-124.018737
4201201915489,2019-15489,4/29/2019 9:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,45XX UPLANDS DR,40463,Rutherford,12,49.220006,-124.027816
4201201936405,2019-36405,9/11/2019 2:10:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,47XX RUTHERFORD RD,40466,Rutherford,12,49.215027,-124.026734
4201201932326,2019-32326,8/16/2019 2:01:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,57XX TURNER RD,40495,Rutherford,12,49.226241,-124.033074
4201201915146,2019-15146,4/28/2019 4:04:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,58XX TURNER RD,40502,Rutherford,12,49.22509,-124.03647
4201201930437,2019-30437,8/2/2019 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,62XX HAMMOND BAY RD,40525,Rutherford,12,49.234254,-124.039237
4201201926582,2019-26582,7/10/2019 4:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,23XX BOWEN RD,40558,Diver Lake,13,49.195705,-123.995213
4201201922230,2019-22230,6/13/2019 9:55:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,23XX BOWEN RD,40558,Diver Lake,13,49.195705,-123.995213
4201201932186,2019-32186,8/15/2019 8:04:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,23XX CIENAR DR,40563,Diver Lake,13,49.201831,-124.00068
4201201918501,2019-18501,5/21/2019 5:35:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,23XX HAYES RD,40564,Diver Lake,13,49.203367,-124.004478
4201201932119,2019-32119,8/14/2019 5:24:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,24XX HAYES RD,40583,Diver Lake,13,49.203367,-124.004478
4201201931723,2019-31723,8/11/2019 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,25XX KENWORTH RD,40601,Diver Lake,13,49.202801,-124.008479
4201201931715,2019-31715,8/11/2019 9:50:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,25XX KENWORTH RD,40601,Diver Lake,13,49.202801,-124.008479
4201201931586,2019-31586,8/11/2019 8:22:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,32XX ISLAND HWY N,40630,Diver Lake,13,49.204842,-124.005224
